Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,191.0262106,645.3930145,338.1580011,315.8308365,398.6433346,482.3968591,386.3949368,439.3639628,342.9060112,238.0704042,321.1911461,234.7496845,293.3982469,129.0159952,-82.91762168,,,,,,,,,,,,,,
Andorra,AND,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.95795971,3.872209708,1.851936324,3.926331443,4.836007802,5.522776975,5.040977966,3.971863553,2.793869921,2.539800065,2.506440626,3.924600338,4.738767905,4.675610412,4.00697791,5.533075362,5.577501345,6.567974431,6.251706018,7.955720123,2.504470453,1.844368328,0.738454583,1.084796447,0.548328631,1.415563584,0.169590264,4.092882768,6.570210958,13.22476401,10.37575633,40.24169597,14.83505934,14.74762484,13.73489553,12.08513123,9.21135879,12.13118439,8.421879324,7.147620579,6.603914668,19.22260589,58.99119237,68.94186755,96.23717072,114.1400809,115.5490389,188.4198343,180.3430924,225.0331283,226.2984205,236.543084,225.4864921,
Angola,AGO,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,-0.01006849,4.657198546,,0.005719717,,0.204275392,0.517492233,3.235080947,0.001749667,-0.018909171,-0.005060654,0,0.014561073,0.025304216,0.057139919,0.717123647,2.567291154,6.795859533,6.523817292,6.360143605,6.86644387,7.620980856,7.212372314,8.702141754,10.63319595,9.98384094,13.9743053,14.06021239,16.02665019,16.62101178,25.71840643,26.01024132,31.22762493,25.44724149,38.06979084,34.40079729,36.88660687,27.72646721,25.51999453,28.68411033,21.7028021,19.65411456,27.81230927,32.01657472,71.6329984,25.05806203,9.550058055,13.98252475,20.13820678,12.61237461,12.18622379,9.625633471,11.63995625,
Albania,ALB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.769384305,3.203278373,3.362196497,101.6135105,126.1580166,83.87230513,50.8490006,56.65377579,71.51125004,53.39739369,85.86141095,157.0231133,102.8964784,87.63716458,100.7463066,116.8555859,99.49979748,106.6386342,108.4154193,104.4551291,124.7253704,123.7595357,119.2646131,123.9689722,121.9339389,
Andean Region,ANR,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,9.434466527,10.13895964,9.410508028,8.459519532,7.96686294,6.206405386,6.235207926,4.00083633,4.279321926,4.104828714,5.781966805,5.76605739,6.729511465,16.30534262,28.24519101,40.38616874,40.70501698,46.55853789,44.31359415,50.14477895,55.99562899,51.94757864,42.52331186,35.71381503,32.33251102,35.08552576,32.41224231,33.42622927,25.46065851,23.97113443,57.58534606,50.71044069,35.87366975,30.88483828,31.52287998,24.01638243,24.74210838,22.49772087,24.23193207,20.18903268,18.15612539,19.21979834,18.26719938,30.59072626,38.65999348,94.4918851,55.35071798,58.69476943,68.46048701,41.88731529,35.5599166,36.69715698,41.24879038,
United Arab Emirates,ARE,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,4.575484332,5.525596816,3.953150569,3.207922747,4.315123018,0.136667099,8.286060297,9.380975143,6.251313882,4.324979991,22.84810974,20.60901286,14.51437326,1.986413974,1.302865421,7.602178916,1.66813698,48.17465593,2.043058979,7.590874538,4.020397605,0.302569087,4.057918348,3.546215998,2.599232757,3.006194988,23.9537744,75.70646383,-7.438617424,-3.473757897,1.959592538,-4.014670844,-4.833636947,-4.794584806,-3.597413984,2.305753088,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.385764293,1.392225988,1.868957878,1.74750382,0.784011912,-2.790011239,-0.428403042,0.945449153,1.749945056,1.079081468,0.389515088,1.137022961,0.940860161,1.810803334,1.400579174,1.009188835,1.154289022,1.038313315,1.031762871,1.551545459,0.692742051,1.525737735,1.025903936,1.596716661,1.62246821,1.286073208,2.787980874,3.178094829,4.811884484,6.549497493,5.172127255,8.274479055,7.872126452,6.661573319,4.250662578,4.092651004,3.708590642,2.858161287,2.18946111,2.09669798,1.422375002,3.905201895,2.166497974,2.808502652,2.384309873,2.488624595,2.951607563,2.57657014,3.291151498,3.166378591,2.999933819,2.135101755,4.354669796,
Armenia,ARM,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774506878,6.508195253,32.48386416,58.13778537,67.50801152,92.06456746,52.93767441,62.38439452,67.61220756,70.18306959,69.16103478,98.32287606,83.59595683,83.75384876,56.4990678,71.76702873,117.0681652,101.6393685,177.2044173,115.680939,134.9810399,91.87017801,
